City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,18.94,60,20,3.6,ZA,Sun Oct  1 10:34:47 2023
1,hawaiian paradise park,19.5933,-154.9731,22.24,97,100,2.06,US,Sun Oct  1 10:34:47 2023
2,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,91,100,2.0,RU,Sun Oct  1 10:30:36 2023
3,san luis,-33.295,-66.3356,21.83,28,0,7.72,AR,Sun Oct  1 10:34:48 2023
4,arraial do cabo,-22.9661,-42.0278,21.92,83,100,4.12,BR,Sun Oct  1 10:34:48 2023
5,ust-nera,64.5667,143.2,-1.98,61,37,3.45,RU,Sun Oct  1 10:32:24 2023
6,ribeira grande,38.5167,-28.7,22.65,68,40,3.58,PT,Sun Oct  1 10:34:48 2023
7,siwa oasis,29.2041,25.5195,30.31,28,100,4.65,EG,Sun Oct  1 10:34:48 2023
8,padang,-0.9492,100.3543,27.03,90,78,1.79,ID,Sun Oct  1 10:34:49 2023
9,waitangi,-43.9535,-176.5597,11.57,86,55,3.58,NZ,Sun Oct  1 10:34:49 2023
10,west island,-12.1568,96.8225,25.99,73,75,8.23,CC,Sun Oct  1 10:34:49 2023
11,timmins,48.4669,-81.3331,13.9,94,100,2.06,CA,Sun Oct  1 10:34:49 2023
12,san patricio,28.017,-97.5169,31.03,67,8,5.83,US,Sun Oct  1 10:34:49 2023
13,hadibu,12.65,54.0333,27.64,80,72,0.91,YE,Sun Oct  1 10:34:50 2023
14,jamestown,42.097,-79.2353,19.2,100,75,0.0,US,Sun Oct  1 10:30:08 2023
15,avarua,-21.2078,-159.775,24.03,100,75,2.57,CK,Sun Oct  1 10:34:50 2023
16,bodesti,47.0333,26.4167,19.65,46,100,4.38,RO,Sun Oct  1 10:34:50 2023
17,port-aux-francais,-49.35,70.2167,6.08,97,100,17.07,TF,Sun Oct  1 10:34:50 2023
18,east london,-33.0153,27.9116,18.52,63,20,4.12,ZA,Sun Oct  1 10:34:51 2023
19,blackmans bay,-43.0167,147.3167,6.4,81,7,2.74,AU,Sun Oct  1 10:34:51 2023
20,mount pearl,47.5166,-52.7813,18.58,57,75,6.69,CA,Sun Oct  1 10:34:51 2023
21,naracoorte,-36.9579,140.7383,5.03,88,0,2.95,AU,Sun Oct  1 10:34:51 2023
22,adamstown,-25.066,-130.1015,20.53,81,47,10.72,PN,Sun Oct  1 10:34:51 2023
23,aasiaat,68.7098,-52.8699,-3.15,69,3,5.33,GL,Sun Oct  1 10:34:51 2023
24,enewetak,11.3474,162.3373,29.06,75,96,6.62,MH,Sun Oct  1 10:34:52 2023
25,iqaluit,63.7506,-68.5145,3.85,86,20,1.54,CA,Sun Oct  1 10:34:52 2023
26,carutapera,-1.195,-46.02,31.54,57,64,5.55,BR,Sun Oct  1 10:34:52 2023
27,salekhard,66.53,66.6019,5.59,95,99,4.02,RU,Sun Oct  1 10:34:52 2023
28,st. john's,47.5649,-52.7093,19.04,58,75,6.69,CA,Sun Oct  1 10:30:04 2023
29,sinmak,38.4167,126.2333,11.72,64,0,1.62,KP,Sun Oct  1 10:34:52 2023
30,udachny,66.4167,112.4,-0.86,92,100,7.03,RU,Sun Oct  1 10:34:53 2023
31,new norfolk,-42.7826,147.0587,7.06,90,8,1.08,AU,Sun Oct  1 10:34:53 2023
32,show low,34.2542,-110.0298,14.49,49,0,10.8,US,Sun Oct  1 10:34:53 2023
33,yellowknife,62.456,-114.3525,7.45,95,100,5.66,CA,Sun Oct  1 10:33:13 2023
34,pimentel,-6.8367,-79.9342,23.16,68,75,5.66,PE,Sun Oct  1 10:34:53 2023
35,bredasdorp,-34.5322,20.0403,15.45,67,0,7.34,ZA,Sun Oct  1 10:34:53 2023
36,badger,64.8,-147.5333,2.95,76,100,3.09,US,Sun Oct  1 10:34:54 2023
37,puerto natales,-51.7236,-72.4875,3.55,73,80,6.2,CL,Sun Oct  1 10:34:54 2023
38,bethel,41.3712,-73.414,20.36,77,0,4.63,US,Sun Oct  1 10:30:05 2023
39,grytviken,-54.2811,-36.5092,4.87,91,69,4.76,GS,Sun Oct  1 10:34:54 2023
40,puerto ayora,-0.7393,-90.3518,25.98,91,100,2.24,EC,Sun Oct  1 10:31:23 2023
41,campbell river,50.0163,-125.2446,8.03,100,20,2.06,CA,Sun Oct  1 10:34:54 2023
42,invercargill,-46.4,168.35,15.57,64,100,5.81,NZ,Sun Oct  1 10:34:55 2023
43,al ghayzah,16.2079,52.176,27.67,77,39,3.25,YE,Sun Oct  1 10:34:55 2023
44,belmonte,-15.8631,-38.8828,26.39,63,22,3.59,BR,Sun Oct  1 10:34:55 2023
45,betio village,1.358,172.9211,28.02,74,2,3.3,KI,Sun Oct  1 10:34:55 2023
46,olonkinbyen,70.9221,-8.7187,0.45,72,100,4.32,SJ,Sun Oct  1 10:34:55 2023
47,quellon,-43.1167,-73.6167,6.07,89,100,2.56,CL,Sun Oct  1 10:31:19 2023
48,luderitz,-26.6481,15.1594,20.08,59,0,7.11,NA,Sun Oct  1 10:34:56 2023
49,edinburgh of the seven seas,-37.0676,-12.3116,9.46,63,97,12.18,SH,Sun Oct  1 10:34:56 2023
50,san antonio de pale,-1.4014,5.6325,25.51,81,65,5.87,GQ,Sun Oct  1 10:34:56 2023
51,praia da vitoria,38.7333,-27.0667,23.2,73,20,3.97,PT,Sun Oct  1 10:34:56 2023
52,catu,-12.3531,-38.3789,25.68,79,98,1.95,BR,Sun Oct  1 10:34:56 2023
53,anadyr,64.75,177.4833,-3.72,86,0,4.0,RU,Sun Oct  1 10:34:56 2023
54,college,64.8569,-147.8028,2.99,75,100,3.09,US,Sun Oct  1 10:32:23 2023
55,constantia,44.1833,28.65,25.39,49,16,2.7,RO,Sun Oct  1 10:34:57 2023
56,dhidhdhoo,6.8833,73.1,27.6,79,100,6.1,MV,Sun Oct  1 10:34:57 2023
57,bubaque,11.2833,-15.8333,28.13,77,100,1.56,GW,Sun Oct  1 10:34:57 2023
58,wailua homesteads,22.0669,-159.378,24.44,85,20,6.69,US,Sun Oct  1 10:34:57 2023
59,callao,-12.0667,-77.15,22.07,77,75,3.6,PE,Sun Oct  1 10:34:57 2023
60,talnakh,69.4865,88.3972,-12.66,90,10,1.91,RU,Sun Oct  1 10:33:21 2023
61,atafu village,-8.5421,-172.5159,28.37,70,82,0.75,TK,Sun Oct  1 10:34:58 2023
62,codrington,-38.2667,141.9667,5.63,91,0,3.56,AU,Sun Oct  1 10:34:58 2023
63,hamilton,39.1834,-84.5333,23.76,80,0,2.06,US,Sun Oct  1 10:34:32 2023
64,safford,32.834,-109.7076,24.51,32,0,3.6,US,Sun Oct  1 10:34:58 2023
65,chingola,-12.529,27.8838,33.71,16,95,2.07,ZM,Sun Oct  1 10:34:59 2023
66,whitehorse,60.7161,-135.0538,4.43,90,100,7.72,CA,Sun Oct  1 10:34:59 2023
67,georgetown,5.4112,100.3354,28.97,82,20,1.54,MY,Sun Oct  1 10:33:25 2023
68,isafjordur,66.0755,-23.124,8.02,76,75,4.63,IS,Sun Oct  1 10:34:59 2023
69,tazacorte,28.629,-17.9293,27.86,79,0,3.09,ES,Sun Oct  1 10:34:59 2023
70,palembang,-2.9167,104.7458,29.05,70,40,4.63,ID,Sun Oct  1 10:34:59 2023
71,nyurba,63.2842,118.3319,6.13,81,99,0.45,RU,Sun Oct  1 10:35:00 2023
72,terrigal,-33.45,151.45,18.89,72,15,6.6,AU,Sun Oct  1 10:35:00 2023
73,kyparissia,37.2511,21.6736,26.63,63,6,2.23,GR,Sun Oct  1 10:35:00 2023
74,acapulco de juarez,16.8634,-99.8901,27.9,89,75,3.09,MX,Sun Oct  1 10:32:18 2023
75,alakurtti,66.9672,30.3491,7.06,82,52,4.11,RU,Sun Oct  1 10:35:00 2023
76,hermanus,-34.4187,19.2345,18.94,57,0,5.33,ZA,Sun Oct  1 10:35:00 2023
77,wenxing,28.6667,112.8833,22.31,82,100,2.81,CN,Sun Oct  1 10:35:01 2023
78,saint-philippe,-21.3585,55.7679,24.77,75,9,3.82,RE,Sun Oct  1 10:35:01 2023
79,maragogi,-9.0122,-35.2225,27.1,63,57,4.31,BR,Sun Oct  1 10:35:01 2023
80,iskateley,67.6803,53.1512,10.57,98,100,4.02,RU,Sun Oct  1 10:35:01 2023
81,nova sintra,14.8667,-24.7167,24.47,77,51,7.15,CV,Sun Oct  1 10:35:01 2023
82,port lincoln,-34.7333,135.8667,12.44,78,0,1.94,AU,Sun Oct  1 10:35:01 2023
83,lebu,-37.6167,-73.65,11.84,73,100,4.29,CL,Sun Oct  1 10:35:02 2023
84,kristiansund,63.1115,7.732,13.03,82,75,3.09,NO,Sun Oct  1 10:35:02 2023
85,arica,-18.475,-70.3042,21.75,68,0,4.12,CL,Sun Oct  1 10:35:02 2023
86,isangel,-19.55,169.2667,21.22,76,89,8.17,VU,Sun Oct  1 10:35:02 2023
87,ushuaia,-54.8,-68.3,6.81,53,75,6.17,AR,Sun Oct  1 10:33:01 2023
88,vila franca do campo,37.7167,-25.4333,22.71,99,97,3.47,PT,Sun Oct  1 10:35:03 2023
89,westport,41.1415,-73.3579,21.06,79,0,3.6,US,Sun Oct  1 10:34:01 2023
90,laguna,38.421,-121.4238,15.38,92,0,2.06,US,Sun Oct  1 10:31:11 2023
91,hirson,49.9226,4.0826,24.7,55,13,2.84,FR,Sun Oct  1 10:35:04 2023
92,sur,22.5667,59.5289,30.42,52,27,1.35,OM,Sun Oct  1 10:35:04 2023
93,klyuchi,52.2667,79.1667,7.99,80,0,2.77,RU,Sun Oct  1 10:35:04 2023
94,lata,40.1629,-8.3327,33.84,43,12,2.53,PT,Sun Oct  1 10:35:04 2023
95,muana,-1.5283,-49.2167,34.94,43,74,2.61,BR,Sun Oct  1 10:35:04 2023
96,fortuna,40.5982,-124.1573,9.51,98,100,0.0,US,Sun Oct  1 10:30:53 2023
97,naze,28.3667,129.4833,24.51,78,26,5.96,JP,Sun Oct  1 10:35:05 2023
98,kertih,4.5141,103.4483,25.05,100,90,0.0,MY,Sun Oct  1 10:35:05 2023
99,ikalamavony,-21.15,46.5833,28.06,31,48,0.97,MG,Sun Oct  1 10:35:05 2023
100,empangeni,-28.762,31.8933,17.77,67,100,3.57,ZA,Sun Oct  1 10:35:05 2023
101,port mathurin,-19.6833,63.4167,23.01,82,89,8.89,MU,Sun Oct  1 10:35:06 2023
102,ola,59.5833,151.2833,8.01,88,100,0.35,RU,Sun Oct  1 10:35:06 2023
103,amahai,-3.3333,128.9167,25.3,87,70,0.47,ID,Sun Oct  1 10:35:06 2023
104,arar,30.9753,41.0381,34.01,13,0,0.0,SA,Sun Oct  1 10:35:06 2023
105,sosnovka,56.255,51.2842,16.23,57,11,5.19,RU,Sun Oct  1 10:35:06 2023
106,saipan,15.1355,145.701,28.39,89,40,3.6,MP,Sun Oct  1 10:35:07 2023
107,zarnesti,45.3,26.8667,22.82,37,78,4.84,RO,Sun Oct  1 10:35:07 2023
108,botou,38.0667,116.5667,17.33,41,96,2.1,CN,Sun Oct  1 10:35:07 2023
109,tiksi,71.6872,128.8694,-7.35,91,55,3.15,RU,Sun Oct  1 10:35:07 2023
110,vila velha,-20.3297,-40.2925,24.97,77,100,3.6,BR,Sun Oct  1 10:35:07 2023
111,qaqortoq,60.7167,-46.0333,3.09,79,99,2.47,GL,Sun Oct  1 10:35:08 2023
112,vorgashor,67.5833,63.95,7.34,98,100,5.9,RU,Sun Oct  1 10:35:08 2023
113,tutoia,-2.7619,-42.2744,30.5,58,60,7.06,BR,Sun Oct  1 10:35:08 2023
114,mermoz boabab,14.7065,-17.4758,32.31,75,99,2.14,SN,Sun Oct  1 10:35:08 2023
115,touros,-5.1989,-35.4608,29.68,53,43,7.6,BR,Sun Oct  1 10:33:04 2023
116,thompson,55.7435,-97.8558,4.09,93,100,3.09,CA,Sun Oct  1 10:35:09 2023
117,punta arenas,-53.15,-70.9167,6.06,56,40,12.35,CL,Sun Oct  1 10:30:23 2023
118,belyy yar,53.6039,91.3903,4.94,70,75,1.0,RU,Sun Oct  1 10:35:09 2023
119,hithadhoo,-0.6,73.0833,28.17,71,89,6.3,MV,Sun Oct  1 10:35:09 2023
120,klofta,60.0667,11.15,13.6,65,0,3.6,NO,Sun Oct  1 10:35:09 2023
121,margaret river,-33.95,115.0667,13.0,77,98,11.08,AU,Sun Oct  1 10:35:10 2023
122,patacamaya,-17.2333,-67.9167,15.84,38,27,3.73,BO,Sun Oct  1 10:35:10 2023
123,taltal,-25.4,-70.4833,18.05,67,5,2.79,CL,Sun Oct  1 10:35:10 2023
124,gereida,11.2811,25.1414,34.05,36,73,1.8,SD,Sun Oct  1 10:35:10 2023
125,chonchi,-42.6128,-73.8092,6.18,98,100,1.4,CL,Sun Oct  1 10:35:10 2023
126,sao joao da barra,-21.6403,-41.0511,24.05,77,100,8.67,BR,Sun Oct  1 10:35:11 2023
127,albany,42.6001,-73.9662,18.13,88,1,2.93,US,Sun Oct  1 10:31:48 2023
128,kapa'a,22.0752,-159.319,25.18,85,20,6.69,US,Sun Oct  1 10:35:11 2023
129,olyokminsk,60.3736,120.4264,5.47,89,58,0.86,RU,Sun Oct  1 10:35:11 2023
130,muang xay,20.7,101.9833,21.42,99,53,0.84,LA,Sun Oct  1 10:35:11 2023
131,keflavik,64.0049,-22.5624,11.95,76,0,4.63,IS,Sun Oct  1 10:35:12 2023
132,san martin,-33.081,-68.4681,23.3,25,3,4.72,AR,Sun Oct  1 10:35:12 2023
133,papatowai,-46.5619,169.4708,13.43,64,99,4.36,NZ,Sun Oct  1 10:35:12 2023
134,howrah,22.5892,88.3103,28.0,94,75,2.06,IN,Sun Oct  1 10:35:12 2023
135,ilulissat,69.2167,-51.1,0.01,51,6,2.06,GL,Sun Oct  1 10:35:13 2023
136,kodiak,57.79,-152.4072,8.73,100,100,2.57,US,Sun Oct  1 10:35:13 2023
137,urengoy,65.9667,78.3667,2.28,68,100,7.6,RU,Sun Oct  1 10:35:13 2023
138,altay,47.8667,88.1167,8.66,61,31,2.52,CN,Sun Oct  1 10:35:13 2023
139,oroqen zizhiqi,50.5667,123.7167,4.55,86,27,0.14,CN,Sun Oct  1 10:35:13 2023
140,bartica,6.4,-58.6167,35.18,34,100,2.16,GY,Sun Oct  1 10:35:14 2023
141,kibondo,-3.5864,30.7203,30.35,24,70,2.55,TZ,Sun Oct  1 10:35:14 2023
142,acarau,-2.8856,-40.12,31.77,53,36,9.31,BR,Sun Oct  1 10:35:14 2023
143,alice springs,-23.7,133.8833,29.75,15,81,3.6,AU,Sun Oct  1 10:30:35 2023
144,bamboo flat,11.7,92.7167,27.05,89,75,1.54,IN,Sun Oct  1 10:35:14 2023
145,friedland,51.4167,9.9333,22.77,52,98,1.79,DE,Sun Oct  1 10:35:14 2023
146,shetpe,44.1667,52.1167,20.78,39,14,3.7,KZ,Sun Oct  1 10:35:15 2023
147,stanley,54.868,-1.6985,20.16,73,100,4.68,GB,Sun Oct  1 10:30:50 2023
148,ulsteinvik,62.3432,5.8487,13.32,77,100,2.24,NO,Sun Oct  1 10:35:15 2023
149,formosa do rio preto,-11.0483,-45.1931,37.81,17,0,3.04,BR,Sun Oct  1 10:35:15 2023
150,pangody,65.85,74.4859,2.26,100,100,3.43,RU,Sun Oct  1 10:32:25 2023
151,orcopampa,-15.2661,-72.3417,11.69,70,53,1.62,PE,Sun Oct  1 10:35:16 2023
152,bilibino,68.0546,166.4372,-7.8,87,100,0.75,RU,Sun Oct  1 10:35:16 2023
153,al jawf,29.5,38.75,32.82,13,15,4.36,SA,Sun Oct  1 10:35:16 2023
154,mubende,0.5606,31.39,20.57,78,80,0.67,UG,Sun Oct  1 10:35:16 2023
155,ryotsu-minato,38.0833,138.4333,18.9,68,31,5.06,JP,Sun Oct  1 10:35:16 2023
156,nikolayevsk-on-amure,53.1406,140.73,9.51,97,100,3.18,RU,Sun Oct  1 10:35:17 2023
157,akwanga,8.9167,8.3833,27.19,77,87,2.2,NG,Sun Oct  1 10:35:17 2023
158,hola,51.5377,23.1902,16.1,44,88,3.01,PL,Sun Oct  1 10:35:17 2023
159,puerto real,36.5282,-6.1901,35.07,35,0,7.2,ES,Sun Oct  1 10:35:17 2023
160,tamalpais valley,37.8796,-122.5458,14.25,91,35,2.24,US,Sun Oct  1 10:35:17 2023
161,lorengau,-2.0226,147.2712,26.55,81,24,2.18,PG,Sun Oct  1 10:35:18 2023
162,rawson,-43.3002,-65.1023,19.28,31,100,5.03,AR,Sun Oct  1 10:35:18 2023
163,ridgecrest,35.6225,-117.6709,12.79,65,75,3.09,US,Sun Oct  1 10:35:18 2023
164,alofi,-19.0595,-169.9187,21.94,68,99,6.69,NU,Sun Oct  1 10:35:18 2023
165,utrik,11.2278,169.8474,27.43,77,100,2.8,MH,Sun Oct  1 10:35:18 2023
166,sealy,29.7808,-96.1572,28.61,81,70,1.34,US,Sun Oct  1 10:35:18 2023
167,roma,43.2128,-75.4557,20.53,100,100,0.0,US,Sun Oct  1 10:32:48 2023
168,tazovsky,67.4667,78.7,-0.16,95,100,6.41,RU,Sun Oct  1 10:32:21 2023
169,zholymbet,51.7433,71.7122,12.92,59,99,3.85,KZ,Sun Oct  1 10:35:19 2023
